hrt_value,t_value
71597.0,1093.149524
71654.0,1093.189652
71696.0,1093.229788
71732.0,1093.269922
71759.0,1093.310079
71777.0,1093.350213
71797.0,1093.390348
71837.0,1093.430489
71871.0,1093.470631
71907.0,1093.510781
71942.0,1093.550909
71975.0,1093.591049
71998.0,1093.631191
72019.0,1093.671347
72033.0,1093.711477
72059.0,1093.751615
72088.0,1093.791767
72098.0,1093.831905
72038.0,1093.872043
71933.0,1093.912191
71903.0,1093.952347
71912.0,1093.992856
71939.0,1094.033001
71978.0,1094.073148
72018.0,1094.113261
72045.0,1094.153397
72061.0,1094.193534
72076.0,1094.23367
72094.0,1094.273806
72119.0,1094.313941
72136.0,1094.354066
72161.0,1094.394201
72174.0,1094.434344
72132.0,1094.474473
72089.0,1094.514609
72007.0,1094.55477
71919.0,1094.59489
71847.0,1094.635009
71788.0,1094.675165
71752.0,1094.715297
71754.0,1094.75542
71798.0,1094.795545
71781.0,1094.835693
71670.0,1094.875818
71599.0,1094.91597
71517.0,1094.956117
71407.0,1094.996248
71334.0,1095.036393
71352.0,1095.07653
71362.0,1095.11666
71340.0,1095.156805
71232.0,1095.196951
71155.0,1095.2371
71163.0,1095.27726
71207.0,1095.317393
71222.0,1095.35753
71221.0,1095.398023
71157.0,1095.438164
71154.0,1095.478304
71190.0,1095.518446
71228.0,1095.558568
71269.0,1095.598706
71292.0,1095.638855
71274.0,1095.678989
71269.0,1095.719141
71282.0,1095.759261
71221.0,1095.799398
71116.0,1095.839522
71040.0,1095.879661
71011.0,1095.91981
71006.0,1095.959957
71027.0,1096.000277
71077.0,1096.040401
71098.0,1096.080371
71082.0,1096.120517
71073.0,1096.160652
71065.0,1096.200801
71079.0,1096.240929
71098.0,1096.281076
71116.0,1096.321212
71119.0,1096.361353
71125.0,1096.401491
71137.0,1096.44163
71135.0,1096.481778
71146.0,1096.521894
71149.0,1096.562023
71082.0,1096.602168
70978.0,1096.642296
70844.0,1096.682804
70721.0,1096.722942
70658.0,1096.763068
70648.0,1096.803201
70635.0,1096.843167
70659.0,1096.883305
70658.0,1096.923446
70576.0,1096.963589
70454.0,1097.0037
70385.0,1097.043817
70395.0,1097.08397
70449.0,1097.124098
70545.0,1097.164242
70624.0,1097.20475
70675.0,1097.244879
70704.0,1097.285
70731.0,1097.325147
70747.0,1097.365275
70760.0,1097.405413
70779.0,1097.445541
70797.0,1097.485701
70819.0,1097.525856
70762.0,1097.565999
70619.0,1097.606154
70511.0,1097.646271
70460.0,1097.686413
70446.0,1097.72655
70448.0,1097.766707
70472.0,1097.806856
70511.0,1097.846997
70537.0,1097.887149
70534.0,1097.92727
70526.0,1097.967402
70542.0,1098.007538
70570.0,1098.047661
70615.0,1098.087799
70650.0,1098.127933
70691.0,1098.168067
70729.0,1098.208213
70784.0,1098.248355
70819.0,1098.288492
70856.0,1098.328828
70885.0,1098.368988
70884.0,1098.409134
70766.0,1098.449262
70657.0,1098.489393
70603.0,1098.529521
70605.0,1098.569651
70614.0,1098.609799
70658.0,1098.649928
70712.0,1098.690069
70746.0,1098.730212
70746.0,1098.770352
70753.0,1098.810491
70762.0,1098.850614
70796.0,1098.890771
70821.0,1098.930895
70807.0,1098.971019
70747.0,1099.011167
70700.0,1099.051298
70674.0,1099.091447
70696.0,1099.131599
70759.0,1099.171751
70877.0,1099.211892
70956.0,1099.252025
70943.0,1099.292167
70854.0,1099.332298
70809.0,1099.37281
70761.0,1099.412952
70712.0,1099.453086
70662.0,1099.49323
70575.0,1099.533354
70526.0,1099.573493
70579.0,1099.613617
70646.0,1099.653778
70668.0,1099.693909
70592.0,1099.734058
70520.0,1099.774197
70541.0,1099.814338
70626.0,1099.854474
70714.0,1099.894616
70785.0,1099.934772
70758.0,1099.974901
70726.0,1100.015032
70725.0,1100.055183
70763.0,1100.095345
70838.0,1100.135477
70907.0,1100.17561
70968.0,1100.215751
71010.0,1100.255881
70990.0,1100.296207
70873.0,1100.336348
70826.0,1100.376495
70822.0,1100.41663
70841.0,1100.456778
70869.0,1100.4969
70900.0,1100.537044
70928.0,1100.577191
70935.0,1100.617349
70949.0,1100.657492
70973.0,1100.69761
71019.0,1100.737771
71058.0,1100.777895
71099.0,1100.818
71137.0,1100.858141
71169.0,1100.89827
71196.0,1100.938404
71232.0,1100.978551
71261.0,1101.018709
71292.0,1101.058826
71330.0,1101.098989
